,feature,importance
592,loc_senov,9.731502126361556e-06
208,loc_hermanova,9.705776010432892e-06
123,loc_bzenec,9.677164735032536e-06
203,loc_hanusovice,9.669268221415895e-06
260,loc_jachymov,9.541019607852072e-06
535,loc_predmerice,9.524040869590416e-06
405,loc_lutin,9.497888374085694e-06
130,loc_cerna,9.3800785472012e-06
689,loc_uhlirske,9.35712620116864e-06
335,loc_kremze,9.328416900965984e-06
106,loc_brezina,9.275441828233622e-06
709,loc_velesovice,9.183908808004141e-06
256,loc_ivanovice,9.129586872630334e-06
271,loc_jevicko,9.044818484700509e-06
243,loc_hrivinuv,9.007158078001388e-06
544,loc_probostov,8.948265054726927e-06
425,loc_mirotice,8.928178999864362e-06
5,bus_public_transport,8.842859103266951e-06
665,loc_tesetice,8.781767995324599e-06
612,loc_solnice,8.737833404229088e-06
60,loc_baska,8.731606783774825e-06
81,loc_blovice,8.505121956329246e-06
238,loc_hradek,8.384275444325824e-06
563,loc_revnicov,8.200858710505827e-06
383,loc_lisnice,8.176134982706947e-06
74,loc_bilovec,8.132535247990533e-06
85,loc_bohuslavice,8.108176822982167e-06
498,loc_paseka,7.948246180985623e-06
490,loc_ostravice,7.612735586225472e-06
561,loc_rebesovice,7.568027440380402e-06
262,loc_janov,7.45315521808517e-06
711,loc_velhartice,7.44686178387402e-06
737,loc_vrato,7.3462308325031334e-06
680,loc_tuchlovice,7.3401460544375e-06
265,loc_jaromer,7.319159394359542e-06
457,loc_nivnice,7.271714071554715e-06
375,loc_libotenice,7.231260725216636e-06
343,loc_kunin,7.1117388123427474e-06
508,loc_pilnikov,7.005929247498257e-06
411,loc_marenice,6.994687020640542e-06
175,loc_dobrovice,6.895938041205947e-06
253,loc_hyskov,6.848814960989641e-06
413,loc_markvartovice,6.842062561129874e-06
263,loc_janovice,6.790432046418713e-06
787,loc_zruc,6.689601145892328e-06
264,loc_jarohnevice,6.531799649276395e-06
350,loc_lanov,6.527669728671278e-06
753,loc_zachlumi,6.429957307404463e-06
205,loc_hartmanice,6.362097694147605e-06
323,loc_kozmice,6.351638221768594e-06
382,loc_lipova,6.3039690845558325e-06
635,loc_strazny,6.256526428333713e-06
274,loc_jilemnice,6.213676023423109e-06
514,loc_pnovice,6.193746482456568e-06
339,loc_krtiny,5.992116118035994e-06
527,loc_postoloprty,5.942953328137787e-06
541,loc_pribor,5.898612634049279e-06
76,loc_bitozeves,5.8979058735522396e-06
629,loc_stochov,5.880512852243531e-06
325,loc_kraliky,5.8747631392300654e-06
616,loc_stahlavy,5.848606054027162e-06
332,loc_kravare,5.537027090088864e-06
584,loc_rymice,5.53653888510933e-06
436,loc_mokra,5.5342056684545654e-06
71,loc_bezno,5.512052547249511e-06
547,loc_psary,5.416972498018581e-06
699,loc_vacenovice,5.322427519041078e-06
93,loc_borsice,5.293599746770719e-06
354,loc_lavicky,5.261603797955384e-06
84,loc_bohunovice,5.253161998550264e-06
475,loc_olbramovice,5.194772690000181e-06
104,loc_brasy,5.098456092425825e-06
728,loc_vochov,5.093078015538144e-06
294,loc_kasejovice,4.952981732379753e-06
59,loc_banov,4.938483397811837e-06
602,loc_slavetin,4.896476471611137e-06
487,loc_oslavany,4.890203206003454e-06
390,loc_loket,4.889747652153966e-06
161,loc_cizkovice,4.755820152756501e-06
86,loc_bohusovice,4.714726919442321e-06
126,loc_cebiv,4.714031684137063e-06
478,loc_ondrejov,4.5982546821193506e-06
162,loc_cizkrajov,4.5668491383352245e-06
574,loc_rovna,4.498889442636263e-06
731,loc_volyne,4.420827134528274e-06
259,loc_jablunkov,4.410188166864706e-06
101,loc_branky,4.3469899276692505e-06
276,loc_jiloviste,4.315383437470697e-06
767,loc_zbysov,4.257503060525267e-06
247,loc_hroznova,4.252869736819129e-06
120,loc_budyne,4.219449427958813e-06
340,loc_krupka,4.004989529315138e-06
185,loc_drozdov,3.995786042361406e-06
540,loc_pribice,3.957108811768698e-06
116,loc_brusperk,3.941679022244398e-06
474,loc_okrouhlo,3.856945801692192e-06
440,loc_moravsky,3.836210403970206e-06
759,loc_zasada,3.814726615761689e-06
230,loc_hostenice,3.769646293450066e-06
300,loc_klaster,3.7060532609456787e-06
533,loc_praslavice,3.6718039733444816e-06
310,loc_kolovec,3.658541493960707e-06
744,loc_vsemyslice,3.6025613821842143e-06
190,loc_dvorce,3.5835090422604885e-06
353,loc_lanzhot,3.577997461924997e-06
288,loc_kamenna,3.566964869212399e-06
455,loc_neveklov,3.5097845897533042e-06
68,loc_benecko,3.5003668942109285e-06
92,loc_borovany,3.42793535059554e-06
722,loc_vigantice,3.342241929112451e-06
258,loc_jablonne,3.2766667654571872e-06
363,loc_lhenice,3.247045394515832e-06
706,loc_vejprty,3.2405840381616e-06
623,loc_stepankovice,3.2171179527351585e-06
172,loc_dobrichov,3.1926425388472376e-06
675,loc_trhanov,3.1489091119712124e-06
653,loc_svobodne,3.1342817868136497e-06
559,loc_raspenava,3.1253929838638133e-06
707,loc_velehrad,3.101402268206353e-06
164,loc_dacice,3.0825008641879493e-06
620,loc_starec,2.974186643785236e-06
199,loc_frystak,2.942041696765036e-06
618,loc_stara,2.9376693491770247e-06
690,loc_uhonice,2.875201591217453e-06
374,loc_libodrice,2.8717368378148682e-06
26,playground,2.8635538226569774e-06
286,loc_kamenice,2.8148221579934294e-06
372,loc_libisany,2.7982555963896197e-06
158,loc_chysky,2.790553509258385e-06
603,loc_slavicin,2.767110189465842e-06
232,loc_hostinne,2.742190039523257e-06
506,loc_petrov,2.714470706717605e-06
531,loc_prachovice,2.7009161790882534e-06
640,loc_studeny,2.6661576361980774e-06
617,loc_stankovice,2.6182757495635505e-06
543,loc_primda,2.604034467688129e-06
313,loc_konstantinovy,2.601790587743697e-06
515,loc_pobezovice,2.600235846363011e-06
600,loc_slapanov,2.5814916909330147e-06
558,loc_rapotin,2.561359681999224e-06
519,loc_podivin,2.5468347243490132e-06
642,loc_suchdol,2.49787559800887e-06
129,loc_cerhenice,2.4942736424627145e-06
790,loc_zverotice,2.4682328528897845e-06
